mac_cliente,mac_ap,banda,rssi,time_step
172.253.206.125.31.69,44.208.45.125.172.128,0,-40,247
8.212.12.130.83.142,44.208.45.127.103.160,0,-94,247
120.228.0.57.52.255,44.208.45.127.67.64,0,-45,247
148.233.121.198.198.71,44.208.45.127.67.64,0,-54,248
120.228.0.57.52.255,44.208.45.127.67.64,0,-45,248
8.212.12.130.83.142,44.208.45.127.103.160,0,-95,248
172.253.206.125.31.69,44.208.45.125.172.128,0,-40,248
216.252.147.127.63.210,44.208.45.127.103.160,0,-78,248
8.212.12.130.83.142,44.208.45.127.103.160,0,-95,249
172.253.206.125.31.69,44.208.45.125.172.128,0,-37,249
120.228.0.57.52.255,44.208.45.127.67.64,0,-46,249
216.252.147.127.63.210,44.208.45.127.103.160,0,-79,249
148.233.121.198.198.71,44.208.45.127.67.64,0,-54,249
148.233.121.198.198.71,44.208.45.127.67.64,0,-52,250
120.228.0.57.52.255,44.208.45.127.67.64,0,-46,250
164.186.219.182.232.26,44.208.45.127.103.160,0,-65,250
216.252.147.127.63.210,44.208.45.127.103.160,0,-80,250
8.212.12.130.83.142,44.208.45.127.103.160,0,-95,250
8.212.12.130.83.142,44.208.45.127.103.160,0,-87,251
120.228.0.57.52.255,44.208.45.127.67.64,0,-46,251
148.233.121.198.198.71,44.208.45.127.67.64,0,-53,251
164.186.219.182.232.26,44.208.45.127.103.160,0,-65,251
216.252.147.127.63.210,44.208.45.127.103.160,0,-80,251
148.233.121.198.198.71,44.208.45.127.67.64,0,-55,252
8.212.12.130.83.142,44.208.45.127.103.160,0,-66,252
216.252.147.127.63.210,44.208.45.127.103.160,0,-81,252
120.228.0.57.52.255,44.208.45.127.67.64,0,-47,252
164.186.219.182.232.26,44.208.45.127.103.160,0,-65,252
148.233.121.198.198.71,44.208.45.127.67.64,0,-57,253
8.212.12.130.83.142,44.208.45.127.103.160,0,-68,253
216.252.147.127.63.210,44.208.45.127.103.160,0,-80,253
120.228.0.57.52.255,44.208.45.127.67.64,0,-47,253
164.186.219.182.232.26,44.208.45.127.103.160,0,-65,253
148.233.121.198.198.71,44.208.45.127.67.64,0,-58,254
8.212.12.130.83.142,44.208.45.127.103.160,0,-87,254
164.186.219.182.232.26,44.208.45.127.103.160,0,-65,254
120.228.0.57.52.255,44.208.45.127.67.64,0,-47,254
216.252.147.127.63.210,44.208.45.127.103.160,0,-78,254
8.212.12.130.83.142,44.208.45.127.103.160,0,-94,255
164.186.219.182.232.26,44.208.45.127.103.160,0,-65,255
120.228.0.57.52.255,44.208.45.127.67.64,0,-47,255
216.252.147.127.63.210,44.208.45.127.103.160,0,-75,255
148.233.121.198.198.71,44.208.45.127.67.64,0,-59,255
8.212.12.130.83.142,44.208.45.127.103.160,0,-95,256
164.186.219.182.232.26,44.208.45.127.103.160,0,-65,256
120.228.0.57.52.255,44.208.45.127.67.64,0,-48,256
216.252.147.127.63.210,44.208.45.127.103.160,0,-72,256
8.212.12.130.83.142,44.208.45.127.103.160,0,-95,257
164.186.219.182.232.26,44.208.45.127.103.160,0,-65,257
216.252.147.127.63.210,44.208.45.127.103.160,0,-72,257
120.228.0.57.52.255,44.208.45.127.67.64,0,-48,257
164.186.219.182.232.26,44.208.45.127.103.160,0,-65,258
120.228.0.57.52.255,44.208.45.127.67.64,0,-48,258
8.212.12.130.83.142,44.208.45.127.103.160,0,-95,258
216.252.147.127.63.210,44.208.45.127.103.160,0,-73,258
172.253.206.125.31.69,44.208.45.125.172.128,1,-48,259
120.228.0.57.52.255,44.208.45.127.67.64,0,-49,259
