mac_cliente,mac_ap,banda,antena,rssi,date,time
8.212.12.130.83.142,0.66.104.213.240.0,0,1,-57,2018-04-13,15:05
8.212.12.130.83.142,0.66.104.213.240.0,1,0,-78,2018-04-13,15:05
8.212.12.130.83.142,0.66.104.213.240.0,1,1,-74,2018-04-13,15:05
8.212.12.130.83.142,44.208.45.106.167.16,0,0,-89,2018-04-13,15:05
8.212.12.130.83.142,44.208.45.106.167.16,0,1,-87,2018-04-13,15:05
8.212.12.130.83.142,44.208.45.125.172.128,0,0,-85,2018-04-13,15:05
8.212.12.130.83.142,44.208.45.125.172.128,0,1,-79,2018-04-13,15:05
8.212.12.130.83.142,44.208.45.127.67.64,0,0,-37,2018-04-13,15:05
8.212.12.130.83.142,44.208.45.127.67.64,0,1,-39,2018-04-13,15:05
8.212.12.130.83.142,44.208.45.127.67.64,1,0,-53,2018-04-13,15:05
8.212.12.130.83.142,44.208.45.127.67.64,1,1,-49,2018-04-13,15:05
8.212.12.130.83.142,44.208.45.127.103.160,0,0,-97,2018-04-13,15:05
8.212.12.130.83.142,44.208.45.127.103.160,0,1,-97,2018-04-13,15:05
148.233.121.198.198.71,0.66.104.213.240.0,0,0,-44,2018-04-13,15:05
148.233.121.198.198.71,0.66.104.213.240.0,0,1,-41,2018-04-13,15:05
148.233.121.198.198.71,44.208.45.106.167.16,0,0,-90,2018-04-13,15:05
148.233.121.198.198.71,44.208.45.106.167.16,0,1,-94,2018-04-13,15:05
148.233.121.198.198.71,44.208.45.125.172.128,0,0,-97,2018-04-13,15:05
148.233.121.198.198.71,44.208.45.125.172.128,0,1,-98,2018-04-13,15:05
176.197.89.188.18.183,0.66.104.213.240.0,0,0,-56,2018-04-13,15:05
176.197.89.188.18.183,0.66.104.213.240.0,0,1,-63,2018-04-13,15:05
176.197.89.188.18.183,44.208.45.106.167.16,0,0,-76,2018-04-13,15:05
176.197.89.188.18.183,44.208.45.106.167.16,0,1,-70,2018-04-13,15:05
176.197.89.188.18.183,44.208.45.125.172.128,0,0,-90,2018-04-13,15:05
176.197.89.188.18.183,44.208.45.125.172.128,0,1,-91,2018-04-13,15:05
176.197.89.188.18.183,44.208.45.127.67.64,0,0,-72,2018-04-13,15:05
176.197.89.188.18.183,44.208.45.127.67.64,0,1,-66,2018-04-13,15:05
176.197.89.188.18.183,44.208.45.127.103.160,0,0,-86,2018-04-13,15:05
176.197.89.188.18.183,44.208.45.127.103.160,0,1,-89,2018-04-13,15:05
