mac_cliente,mac_ap,banda,antena,rssi,date,time,client_index,block_index
180.213.189.242.128.35,44.208.45.106.167.16,0,1,-36,2018-09-10,15:05,36,1
180.213.189.242.128.35,44.208.45.106.167.16,1,0,-52,2018-09-10,15:05,36,1
180.213.189.242.128.35,44.208.45.106.167.16,1,1,-45,2018-09-10,15:05,36,1
180.213.189.242.128.35,44.208.45.125.172.128,0,0,-49,2018-09-10,15:05,36,1
180.213.189.242.128.35,44.208.45.125.172.128,0,1,-52,2018-09-10,15:05,36,1
180.213.189.242.128.35,44.208.45.125.172.128,1,0,-68,2018-09-10,15:05,36,1
180.213.189.242.128.35,44.208.45.125.172.128,1,1,-67,2018-09-10,15:05,36,1
180.213.189.242.128.35,44.208.45.127.67.64,0,0,-98,2018-09-10,15:05,36,1
180.213.189.242.128.35,44.208.45.127.67.64,0,1,-97,2018-09-10,15:05,36,1
180.213.189.242.128.35,44.208.45.127.103.160,0,0,-86,2018-09-10,15:05,36,1
180.213.189.242.128.35,44.208.45.127.103.160,0,1,-81,2018-09-10,15:05,36,1
180.213.189.242.128.35,44.208.45.127.103.160,1,0,-88,2018-09-10,15:05,36,1
180.213.189.242.128.35,44.208.45.127.103.160,1,1,-88,2018-09-10,15:05,36,1
180.213.189.242.128.35,0.66.104.213.240.0,0,0,-95,2018-09-24,15:05,36,2
180.213.189.242.128.35,0.66.104.213.240.0,0,1,-94,2018-09-24,15:05,36,2
180.213.189.242.128.35,44.208.45.106.167.16,0,0,-38,2018-09-24,15:05,36,2
180.213.189.242.128.35,44.208.45.106.167.16,0,1,-34,2018-09-24,15:05,36,2
180.213.189.242.128.35,44.208.45.106.167.16,1,0,-41,2018-09-24,15:05,36,2
180.213.189.242.128.35,44.208.45.106.167.16,1,1,-38,2018-09-24,15:05,36,2
180.213.189.242.128.35,44.208.45.125.172.128,0,0,-58,2018-09-24,15:05,36,2
180.213.189.242.128.35,44.208.45.125.172.128,0,1,-62,2018-09-24,15:05,36,2
180.213.189.242.128.35,44.208.45.125.172.128,1,0,-74,2018-09-24,15:05,36,2
180.213.189.242.128.35,44.208.45.125.172.128,1,1,-72,2018-09-24,15:05,36,2
180.213.189.242.128.35,44.208.45.127.67.64,0,0,-96,2018-09-24,15:05,36,2
180.213.189.242.128.35,44.208.45.127.67.64,0,1,-94,2018-09-24,15:05,36,2
180.213.189.242.128.35,44.208.45.127.103.160,0,0,-75,2018-09-24,15:05,36,2
180.213.189.242.128.35,44.208.45.127.103.160,0,1,-72,2018-09-24,15:05,36,2
180.213.189.242.128.35,44.208.45.106.167.16,0,0,-46,2018-09-26,15:05,36,3
180.213.189.242.128.35,44.208.45.106.167.16,0,1,-54,2018-09-26,15:05,36,3
180.213.189.242.128.35,44.208.45.106.167.16,1,0,-52,2018-09-26,15:05,36,3
180.213.189.242.128.35,44.208.45.106.167.16,1,1,-50,2018-09-26,15:05,36,3
180.213.189.242.128.35,44.208.45.125.172.128,0,0,-61,2018-09-26,15:05,36,3
180.213.189.242.128.35,44.208.45.125.172.128,0,1,-61,2018-09-26,15:05,36,3
180.213.189.242.128.35,44.208.45.125.172.128,1,0,-79,2018-09-26,15:05,36,3
180.213.189.242.128.35,44.208.45.125.172.128,1,1,-66,2018-09-26,15:05,36,3
180.213.189.242.128.35,44.208.45.127.67.64,0,0,-90,2018-09-26,15:05,36,3
180.213.189.242.128.35,44.208.45.127.67.64,0,1,-93,2018-09-26,15:05,36,3
180.213.189.242.128.35,44.208.45.127.103.160,0,0,-85,2018-09-26,15:05,36,3
180.213.189.242.128.35,44.208.45.127.103.160,0,1,-85,2018-09-26,15:05,36,3
184.8.207.139.103.43,0.66.104.213.240.0,0,0,-96,2018-09-10,15:05,37,1
184.8.207.139.103.43,0.66.104.213.240.0,0,1,-95,2018-09-10,15:05,37,1
184.8.207.139.103.43,44.208.45.106.167.16,0,0,-46,2018-09-10,15:05,37,1
