mac_cliente,mac_ap,banda,antena,rssi,date,time
216.252.147.127.63.210,44.208.45.125.172.128,1,0,-79,2018-10-11,15:05
216.252.147.127.63.210,44.208.45.125.172.128,1,1,-70,2018-10-11,15:05
216.252.147.127.63.210,44.208.45.127.67.64,0,0,-99,2018-10-11,15:05
216.252.147.127.63.210,44.208.45.127.67.64,0,1,-95,2018-10-11,15:05
216.252.147.127.63.210,44.208.45.127.103.160,0,0,-81,2018-10-11,15:05
216.252.147.127.63.210,44.208.45.127.103.160,0,1,-90,2018-10-11,15:05
176.197.89.188.18.183,0.66.104.213.240.0,0,0,-98,2018-10-11,19:05
176.197.89.188.18.183,0.66.104.213.240.0,0,1,-92,2018-10-11,19:05
176.197.89.188.18.183,44.208.45.106.167.16,0,0,-80,2018-10-11,19:05
176.197.89.188.18.183,44.208.45.106.167.16,0,1,-80,2018-10-11,19:05
176.197.89.188.18.183,44.208.45.125.172.128,0,0,-94,2018-10-11,19:05
176.197.89.188.18.183,44.208.45.125.172.128,0,1,-99,2018-10-11,19:05
176.197.89.188.18.183,44.208.45.127.67.64,0,0,-99,2018-10-11,19:05
176.197.89.188.18.183,44.208.45.127.67.64,0,1,-93,2018-10-11,19:05
176.197.89.188.18.183,44.208.45.127.103.160,0,0,-69,2018-10-11,19:05
176.197.89.188.18.183,44.208.45.127.103.160,0,1,-68,2018-10-11,19:05
0.22.235.183.118.194,0.66.104.213.240.0,0,0,-72,2018-10-12,11:05
0.22.235.183.118.194,0.66.104.213.240.0,0,1,-68,2018-10-12,11:05
0.224.76.164.45.138,0.66.104.213.240.0,0,0,-96,2018-10-12,11:05
0.224.76.164.45.138,0.66.104.213.240.0,0,1,-97,2018-10-12,11:05
0.224.76.164.45.138,44.208.45.125.172.128,0,0,-62,2018-10-12,11:05
0.224.76.164.45.138,44.208.45.125.172.128,0,1,-66,2018-10-12,11:05
0.224.76.164.45.138,44.208.45.127.67.64,0,0,-92,2018-10-12,11:05
0.224.76.164.45.138,44.208.45.127.67.64,0,1,-94,2018-10-12,11:05
0.224.76.164.45.138,44.208.45.127.103.160,0,0,-77,2018-10-12,11:05
0.224.76.164.45.138,44.208.45.127.103.160,0,1,-74,2018-10-12,11:05
8.212.12.130.83.142,0.66.104.213.240.0,0,0,-46,2018-10-12,11:05
8.212.12.130.83.142,0.66.104.213.240.0,0,1,-49,2018-10-12,11:05
8.212.12.130.83.142,0.66.104.213.240.0,1,0,-68,2018-10-12,11:05
8.212.12.130.83.142,0.66.104.213.240.0,1,1,-68,2018-10-12,11:05
8.212.12.130.83.142,44.208.45.106.167.16,0,0,-96,2018-10-12,11:05
8.212.12.130.83.142,44.208.45.106.167.16,0,1,-92,2018-10-12,11:05
8.212.12.130.83.142,44.208.45.125.172.128,0,0,-95,2018-10-12,11:05
8.212.12.130.83.142,44.208.45.125.172.128,0,1,-92,2018-10-12,11:05
8.212.12.130.83.142,44.208.45.127.67.64,0,0,-47,2018-10-12,11:05
8.212.12.130.83.142,44.208.45.127.67.64,0,1,-45,2018-10-12,11:05
8.212.12.130.83.142,44.208.45.127.67.64,1,0,-70,2018-10-12,11:05
8.212.12.130.83.142,44.208.45.127.67.64,1,1,-62,2018-10-12,11:05
8.212.12.130.83.142,44.208.45.127.103.160,0,0,-96,2018-10-12,11:05
8.212.12.130.83.142,44.208.45.127.103.160,0,1,-97,2018-10-12,11:05
8.212.12.130.83.142,44.208.45.127.103.160,1,0,-57,2018-10-12,11:05
