mac_cliente,mac_ap,banda,antena,rssi,date,time,client_index,block_index,timestamp_real,timeframe
0.135.1.143.215.55,0.66.104.213.240.0,0,0,-99.0,2018-11-01,15:05:00,1.0,8.0,2018-11-01 15:05:00,27
0.135.1.143.215.55,0.66.104.213.240.0,0,1,-97.0,2018-11-01,15:05:00,1.0,8.0,2018-11-01 15:05:00,27
0.135.1.143.215.55,0.66.104.213.240.0,1,0,-101.0,2018-11-01,15:05:00,,,2018-11-01 15:05:00,27
0.135.1.143.215.55,0.66.104.213.240.0,1,1,-101.0,2018-11-01,15:05:00,,,2018-11-01 15:05:00,27
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-83.0,2018-11-01,15:05:00,1.0,8.0,2018-11-01 15:05:00,27
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-92.0,2018-11-01,15:05:00,1.0,8.0,2018-11-01 15:05:00,27
0.135.1.143.215.55,44.208.45.106.167.16,1,0,-101.0,2018-11-01,15:05:00,,,2018-11-01 15:05:00,27
0.135.1.143.215.55,44.208.45.106.167.16,1,1,-101.0,2018-11-01,15:05:00,,,2018-11-01 15:05:00,27
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-96.0,2018-11-01,15:05:00,1.0,8.0,2018-11-01 15:05:00,27
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-92.0,2018-11-01,15:05:00,1.0,8.0,2018-11-01 15:05:00,27
0.135.1.143.215.55,44.208.45.125.172.128,1,0,-101.0,2018-11-01,15:05:00,,,2018-11-01 15:05:00,27
0.135.1.143.215.55,44.208.45.125.172.128,1,1,-101.0,2018-11-01,15:05:00,,,2018-11-01 15:05:00,27
0.135.1.143.215.55,44.208.45.127.67.64,0,0,-97.0,2018-11-01,15:05:00,1.0,8.0,2018-11-01 15:05:00,27
0.135.1.143.215.55,44.208.45.127.67.64,0,1,-96.0,2018-11-01,15:05:00,1.0,8.0,2018-11-01 15:05:00,27
0.135.1.143.215.55,44.208.45.127.67.64,1,0,-101.0,2018-11-01,15:05:00,,,2018-11-01 15:05:00,27
0.135.1.143.215.55,44.208.45.127.67.64,1,1,-101.0,2018-11-01,15:05:00,,,2018-11-01 15:05:00,27
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-60.0,2018-11-01,15:05:00,1.0,8.0,2018-11-01 15:05:00,27
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-65.0,2018-11-01,15:05:00,1.0,8.0,2018-11-01 15:05:00,27
0.135.1.143.215.55,44.208.45.127.103.160,1,0,-101.0,2018-11-01,15:05:00,,,2018-11-01 15:05:00,27
0.135.1.143.215.55,44.208.45.127.103.160,1,1,-101.0,2018-11-01,15:05:00,,,2018-11-01 15:05:00,27
8.212.12.130.83.142,0.66.104.213.240.0,0,0,-58.0,2018-11-07,11:05:00,54.0,4.0,2018-11-07 11:05:00,27
8.212.12.130.83.142,0.66.104.213.240.0,0,1,-58.0,2018-11-07,11:05:00,54.0,4.0,2018-11-07 11:05:00,27
8.212.12.130.83.142,0.66.104.213.240.0,1,0,-58.0,2018-11-07,11:05:00,54.0,4.0,2018-11-07 11:05:00,27
8.212.12.130.83.142,0.66.104.213.240.0,1,1,-62.0,2018-11-07,11:05:00,54.0,4.0,2018-11-07 11:05:00,27
8.212.12.130.83.142,44.208.45.106.167.16,0,0,-94.0,2018-11-07,11:05:00,54.0,4.0,2018-11-07 11:05:00,27
8.212.12.130.83.142,44.208.45.106.167.16,0,1,-95.0,2018-11-07,11:05:00,54.0,4.0,2018-11-07 11:05:00,27
8.212.12.130.83.142,44.208.45.106.167.16,1,0,-101.0,2018-11-07,11:05:00,,,2018-11-07 11:05:00,27
8.212.12.130.83.142,44.208.45.106.167.16,1,1,-101.0,2018-11-07,11:05:00,,,2018-11-07 11:05:00,27
8.212.12.130.83.142,44.208.45.125.172.128,0,0,-95.0,2018-11-07,11:05:00,54.0,4.0,2018-11-07 11:05:00,27
